pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,sy_dist
11 UMi b,1,1,Radial Velocity,2009,4684.81420,14.74000,13.800000,0.080000,125.3210000
14 And b,1,1,Radial Velocity,2008,1525.50000,4.80000,3.900000,0.000000,75.4392000
14 Her b,1,1,Radial Velocity,2002,1481.08780,4.66000,3.790000,0.370000,17.9323000
1RXS J160929.1-210524 b,1,1,Imaging,2008,3000.00000,8.00000,2.540000,,139.1350000
24 Boo b,1,1,Radial Velocity,2018,289.22530,0.91000,0.592000,0.042000,95.9863000
24 Sex b,1,2,Radial Velocity,2010,632.46000,1.99000,1.440000,0.090000,72.0691000
24 Sex c,1,2,Radial Velocity,2010,273.32000,0.86000,0.559000,0.290000,72.0691000
2MASS J01225093-2439505 b,1,1,Imaging,2013,7786.50000,24.50000,30.400000,,33.8281000
2MASS J02192210-3925225 b,1,1,Imaging,2015,4417.83700,13.90000,5.770000,,40.0896412
2MASS J04414489+2301513 b,1,1,Imaging,2010,2383.60000,7.50000,6.550000,,120.4239870
2MASS J12073346-3932539 b,1,1,Imaging,2004,1271.00000,4.00000,3.180000,,64.3080000
2MASS J21402931+1625183 A b,1,1,Imaging,2009,6657.48000,20.95000,33.400000,0.260000,33.1156898
2MASS J22362452+4751425 b,1,1,Imaging,2016,3972.87500,12.50000,11.700000,,69.5737000
4 UMa b,1,1,Radial Velocity,2006,2256.50000,7.10000,6.050000,0.432000,73.4603000
47 UMa b,1,3,Radial Velocity,1996,804.08000,2.53000,1.920000,0.032000,13.7967000
47 UMa c,1,3,Radial Velocity,2001,171.62100,0.54000,0.329000,0.098000,13.7967000
47 UMa d,1,3,Radial Velocity,2009,521.22000,1.64000,1.160000,0.160000,13.7967000
51 Peg b,1,1,Radial Velocity,1995,146.20180,0.46000,0.275000,0.013000,15.4614000
6 Lyn b,1,1,Radial Velocity,2008,638.83830,2.01000,1.460000,0.073000,54.6599000
61 Vir b,1,3,Radial Velocity,2009,5.10000,0.01600,2.980000,0.120000,8.5033200
61 Vir c,1,3,Radial Velocity,2009,18.20000,0.05700,1.130000,0.140000,8.5033200
61 Vir d,1,3,Radial Velocity,2009,22.90000,0.07200,0.943000,0.350000,8.5033200
7 CMa b,1,2,Radial Velocity,2011,587.98550,1.85000,1.340000,0.060000,19.8101000
7 CMa c,1,2,Radial Velocity,2019,276.51210,0.87000,0.566000,0.080000,19.8101000
70 Vir b,1,1,Radial Velocity,1996,2380.45000,7.49000,6.540000,0.398800,17.9011000
8 UMi b,1,1,Radial Velocity,2015,416.35730,1.31000,0.910000,0.060000,162.5520000
81 Cet b,1,1,Radial Velocity,2008,1684.40000,5.30000,4.410000,0.206000,101.2600000
AB Pic b,1,1,Imaging,2005,4290.50000,13.50000,12.700000,,50.0475000
AU Mic b,1,1,Transit,2020,57.20940,0.18000,4.400000,0.100000,9.7221000
BD+03 2562 b,1,1,Radial Velocity,2017,2034.11200,6.40000,5.460000,0.200000,1070.6300000
BD+14 4559 b,1,1,Radial Velocity,2009,330.54320,1.04000,0.691000,0.290000,49.3520000
BD+15 2375 b,1,1,Radial Velocity,2016,337.21763,1.06100,0.705000,0.001000,768.0450000
BD+15 2940 b,1,1,Radial Velocity,2013,352.78000,1.11000,0.754000,0.260000,426.4200000
BD+20 2457 b,1,2,Radial Velocity,2009,17668.16970,55.59000,62.200000,0.150000,1539.7100000
BD+20 2457 c,1,2,Radial Velocity,2009,3963.17000,12.47000,11.400000,0.180000,1539.7100000
BD+20 274 b,1,1,Radial Velocity,2012,1334.88600,4.20000,3.340000,0.210000,1322.5100000
BD+20 594 b,1,1,Transit,2016,22.24810,0.07000,7.890000,0.000000,179.4610000
BD+48 738 b,1,1,Radial Velocity,2011,289.22530,0.91000,0.592000,0.200000,871.4930000
