pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,sy_dist,sy_disterr1,sy_disterr2,rowupdate
11 UMi b,1,1,Radial Velocity,2009,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,,,,,,,,,3337.07000,785.01000,-785.01000,0,10.50000,2.47000,-2.47000,0,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,189.700,7.150,-7.150,0,,,,,,,,,125.3210000,1.9765000,-1.9765000,2018-04-25
11 UMi b,1,1,Radial Velocity,2009,,,,,1.510000,0.060000,-0.050000,0,,,,,,,,,3432.40000,381.40000,-413.20000,0,10.80000,1.20000,-1.30000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3210000,1.9765000,-1.9765000,2018-04-25
11 UMi b,1,1,Radial Velocity,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,,,,,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,189.700,7.200,-7.200,0,,,,,,,,,125.3210000,1.9765000,-1.9765000,2018-09-04
14 And b,1,1,Radial Velocity,2008,,,,,0.680000,0.030000,-0.060000,0,,,,,,,,,1017.00000,127.10000,-190.70000,0,3.20000,0.40000,-0.60000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4392000,0.7140000,-0.7140000,2014-07-23
14 And b,1,1,Radial Velocity,2008,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,1525.50000,,,0,4.80000,,,0,,,,,0.000000,,,0,,,,,,,,,100.000,1.300,-1.300,0,,,,,,,,,75.4392000,0.7140000,-0.7140000,2014-05-14
14 Her b,1,1,Radial Velocity,2002,,,,,2.730000,,,0,,,,,,,,,1440.66300,,,0,4.53300,,,0,,,,,0.357000,,,0,,,,,,,,,,,,,,,,,,,,,17.9323000,0.0073000,-0.0073000,2018-04-25
14 Her b,1,1,Radial Velocity,2002,1796.40000000,8.30000000,-8.30000000,0,2.800000,,,0,,,,,,,,,1506.45000,19.07000,-19.07000,0,4.74000,0.06000,-0.06000,0,,,,,0.338000,0.011000,-0.011000,0,,,,,,,,,90.300,1.000,-1.000,0,,,,,,,,,17.9323000,0.0073000,-0.0073000,2018-04-25
14 Her b,1,1,Radial Velocity,2002,1724.00000000,50.00000000,-50.00000000,0,2.820000,,,0,,,,,,,,,1554.12000,,,0,4.89000,,,0,,,,,0.370000,0.040000,-0.040000,0,,,,,,,,,89.000,3.000,-3.000,0,,,,,,,,,17.9323000,0.0073000,-0.0073000,2018-04-25
14 Her b,1,1,Radial Velocity,2002,1766.00000000,,,0,2.864000,,,0,,,,,,,,,1581.13800,,,0,4.97500,,,0,,,,,0.359000,,,0,,,,,,,,,,,,,,,,,,,,,17.9323000,0.0073000,-0.0073000,2018-04-25
14 Her b,1,1,Radial Velocity,2002,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,,,,,,,,,1474.67000,60.39000,-60.39000,0,4.64000,0.19000,-0.19000,0,,,,,0.369000,0.005000,-0.005000,0,,,,,,,,,90.000,0.500,-0.500,0,,,,,,,,,17.9323000,0.0073000,-0.0073000,2018-04-25
